Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-09-02,KOTAKNIFTY,EQ,558.56,570.0,573.0,550.04,557.0,558.81,562.53,370,20813734000.0,36.0,236,0.6378
2013-09-03,KOTAKNIFTY,EQ,558.81,560.0,565.0,545.0,545.0,547.15,557.28,392,21845391000.0,34.0,160,0.4082
2013-09-04,KOTAKNIFTY,EQ,547.15,543.0,557.0,542.0,557.0,556.5,547.69,1747,95681294000.0,61.0,819,0.46880000000000005
2013-09-05,KOTAKNIFTY,EQ,556.5,566.0,571.0,566.0,570.9,567.18,568.26,193,10967440000.0,32.0,176,0.9119
2013-09-06,KOTAKNIFTY,EQ,567.18,570.0,579.8,568.0,579.8,578.48,577.7,1128,65164506999.99999,54.0,190,0.1684
2013-09-10,KOTAKNIFTY,EQ,578.48,578.0,598.0,570.01,594.0,596.01,583.77,2393,139695926000.0,100.0,1416,0.5917
2013-09-11,KOTAKNIFTY,EQ,596.01,594.0,600.0,592.0,600.0,598.23,593.6,23787,1411994675000.0,96.0,23742,0.9981000000000001
2013-09-12,KOTAKNIFTY,EQ,598.23,598.0,599.0,589.0,590.99,590.99,593.39,6836,405644417000.0,51.0,6494,0.9500000000000001
2013-09-13,KOTAKNIFTY,EQ,590.99,590.0,597.0,589.0,596.0,596.66,592.73,61,3615680000.0000005,16.0,23,0.37700000000000006
2013-09-16,KOTAKNIFTY,EQ,596.66,600.0,607.0,592.0,599.0,596.49,598.94,1110,66481993000.00001,146.0,488,0.4396
2013-09-17,KOTAKNIFTY,EQ,596.49,593.0,597.0,590.0,592.95,592.93,593.33,522,30971695000.0,109.0,425,0.8142
2013-09-18,KOTAKNIFTY,EQ,592.93,592.95,600.0,589.0,600.0,599.7,596.78,1325,79072820000.0,215.0,1089,0.8219
2013-09-19,KOTAKNIFTY,EQ,599.7,600.02,618.0,600.02,616.95,616.06,611.72,2057,125830339999.99998,164.0,1236,0.6009000000000001
2013-09-20,KOTAKNIFTY,EQ,616.06,616.0,616.06,604.0,610.0,610.0,608.83,923,56195301000.0,55.0,677,0.7334999999999999
2013-09-23,KOTAKNIFTY,EQ,610.0,606.5,609.0,598.0,599.0,599.0,603.28,911,54958751000.0,85.0,367,0.4029
2013-09-24,KOTAKNIFTY,EQ,599.0,596.0,604.5,596.0,600.0,603.67,601.33,430,25857006000.0,94.0,300,0.6977
2013-09-25,KOTAKNIFTY,EQ,603.67,601.0,601.0,592.0,600.0,599.99,596.6,172,10261566000.0,35.0,50,0.2907
2013-09-26,KOTAKNIFTY,EQ,599.99,598.9,603.0,598.5,600.0,602.42,601.06,992,59625450000.0,42.0,612,0.6169
2013-09-27,KOTAKNIFTY,EQ,602.42,603.5,603.5,595.0,595.5,595.66,599.19,311,18634825000.0,43.0,143,0.4598
2013-09-30,KOTAKNIFTY,EQ,595.66,600.0,600.0,585.0,585.0,585.0,588.73,321,18898105000.0,33.0,129,0.4019
2013-10-01,KOTAKNIFTY,EQ,585.0,590.0,590.0,584.0,585.0,584.97,585.45,105,6147195000.0,29.0,66,0.6286
2013-10-03,KOTAKNIFTY,EQ,584.97,585.0,601.0,585.0,598.0,598.96,597.47,1265,75579765000.0,77.0,782,0.6182
2013-10-04,KOTAKNIFTY,EQ,598.96,600.0,606.25,588.7,603.0,597.16,599.06,1409,84407954000.0,89.0,907,0.6437
2013-10-07,KOTAKNIFTY,EQ,597.16,602.0,603.0,599.0,601.0,600.51,600.44,587,35245581000.0,43.0,357,0.6082
2013-10-08,KOTAKNIFTY,EQ,600.51,600.0,608.75,600.0,604.0,604.0,605.59,414,25071305000.0,63.0,318,0.7681
2013-10-09,KOTAKNIFTY,EQ,604.0,600.0,612.0,600.0,611.5,610.03,603.48,438,26432334999.999996,42.0,243,0.5548
2013-10-10,KOTAKNIFTY,EQ,610.03,612.0,614.5,609.0,614.5,613.93,612.42,1772,108521450000.0,70.0,1739,0.9814
2013-10-11,KOTAKNIFTY,EQ,613.93,616.0,623.0,615.0,621.0,619.42,618.28,419,25906100000.0,56.0,376,0.8974
2013-10-14,KOTAKNIFTY,EQ,619.42,620.0,622.5,620.0,622.0,622.0,621.84,103,6404901000.0,24.0,92,0.8932
2013-10-15,KOTAKNIFTY,EQ,622.0,620.0,623.5,618.0,620.0,620.15,621.24,371,23047898000.0,47.0,149,0.40159999999999996
2013-10-17,KOTAKNIFTY,EQ,620.15,620.0,621.0,615.0,615.5,615.5,617.49,291,17968855000.0,25.0,232,0.7973
2013-10-18,KOTAKNIFTY,EQ,615.5,619.0,630.0,618.75,630.0,626.19,625.53,1601,100147995000.0,51.0,1567,0.9788
2013-10-21,KOTAKNIFTY,EQ,626.19,632.0,632.45,629.0,630.5,630.6,630.77,293,18481575000.0,36.0,237,0.8089000000000001
2013-10-22,KOTAKNIFTY,EQ,630.6,631.0,631.5,630.0,631.5,630.91,630.96,635,40065910000.0,39.0,608,0.9575
2013-10-23,KOTAKNIFTY,EQ,630.91,631.5,632.0,625.0,626.0,625.19,628.84,576,36220997000.0,42.0,130,0.2257
2013-10-24,KOTAKNIFTY,EQ,625.19,631.0,636.0,626.0,628.0,627.33,629.72,231,14546456000.0,34.0,169,0.7316
2013-10-25,KOTAKNIFTY,EQ,627.33,628.0,628.0,627.0,627.0,627.0,627.21,124,7777350000.0,16.0,73,0.5887
2013-10-28,KOTAKNIFTY,EQ,627.0,630.0,630.0,620.0,621.0,622.94,627.42,273,17128521000.0,36.0,111,0.40659999999999996
2013-10-29,KOTAKNIFTY,EQ,622.94,620.0,634.0,620.0,633.25,633.16,626.2,933,58424589000.0,76.0,437,0.46840000000000004
2013-10-30,KOTAKNIFTY,EQ,633.16,633.0,636.0,627.0,634.0,634.94,634.87,333,21141105000.0,25.0,324,0.973
2013-10-31,KOTAKNIFTY,EQ,634.94,625.0,650.0,625.0,650.0,642.15,636.14,740,47074419000.0,62.0,554,0.7486
2013-11-01,KOTAKNIFTY,EQ,642.15,645.0,645.5,644.2,644.25,644.2,644.67,1104,71171425000.0,54.0,777,0.7038
2013-11-03,KOTAKNIFTY,EQ,644.2,515.3,648.0,515.3,647.5,647.5,647.05,1463,94663630000.0,75.0,1399,0.9562999999999999
2013-11-05,KOTAKNIFTY,EQ,647.5,648.0,648.0,639.55,639.55,640.0,640.89,1154,73958295000.0,47.0,992,0.8595999999999999
2013-11-06,KOTAKNIFTY,EQ,640.0,640.8,641.0,636.0,636.1,636.0,638.19,1284,81943592000.0,26.0,986,0.7679
2013-11-07,KOTAKNIFTY,EQ,636.0,636.0,643.5,634.0,634.0,634.04,637.68,5132,327259900000.0,45.0,2447,0.4768
2013-11-08,KOTAKNIFTY,EQ,634.04,636.5,636.5,622.5,629.3,629.3,629.12,2478,155896000000.0,39.0,84,0.0339
2013-11-11,KOTAKNIFTY,EQ,629.3,640.0,680.0,618.35,624.6,624.6,631.72,244,15413931000.0,32.0,145,0.5943
2013-11-12,KOTAKNIFTY,EQ,624.6,625.0,625.0,616.0,616.9,616.55,620.33,183,11352095000.0,24.0,83,0.4536
2013-11-13,KOTAKNIFTY,EQ,616.55,616.3,617.9,612.25,612.25,612.26,614.73,33,2028596000.0,8.0,20,0.6061
2013-11-14,KOTAKNIFTY,EQ,612.26,626.13,626.13,618.0,618.0,618.0,620.2,298,18481870000.0,13.0,85,0.2852
2013-11-18,KOTAKNIFTY,EQ,618.0,622.5,627.75,622.5,626.0,626.54,624.67,258,16116550000.0,31.0,104,0.4031
